Номер отсчёта;Время, с;Напряжение 2_19.06_lmax-1, В
2403;-51,92;0,0276
2404;-51,9;0,028
2405;-51,88;0,0276
2406;-51,86;0,028
2407;-51,84;0,0276
2408;-51,82;0,0276
2409;-51,8;0,0276
2410;-51,78;0,0276
2411;-51,76;0,0276
2412;-51,74;0,0276
2413;-51,72;0,0276
2414;-51,7;0,0276
2415;-51,68;0,0276
2416;-51,66;0,0264
2417;-51,64;0,0264
2418;-51,62;0,026
2419;-51,6;0,0272
2420;-51,58;0,0276
2421;-51,56;0,0288
2422;-51,54;0,0276
2423;-51,52;0,0276
2424;-51,5;0,0272
2425;-51,48;0,0272
2426;-51,46;0,0276
2427;-51,44;0,0264
2428;-51,42;0,028
2429;-51,4;0,028
2430;-51,38;0,0276
2431;-51,36;0,0276
2432;-51,34;0,0308
2433;-51,32;0,028
2434;-51,3;0,0272
2435;-51,28;0,026
2436;-51,26;0,0276
2437;-51,24;0,0276
2438;-51,22;0,0272
2439;-51,2;0,0276
2440;-51,18;0,0276
2441;-51,16;0,0276
2442;-51,14;0,0288
2443;-51,12;0,028
2444;-51,1;0,0288
2445;-51,08;0,028
2446;-51,06;0,0288
2447;-51,04;0,028
2448;-51,02;0,0276
2449;-51;0,0276
2450;-50,98;0,0276
2451;-50,96;0,0272
2452;-50,94;0,0272
2453;-50,92;0,0264
2454;-50,9;0,0264
2455;-50,88;0,0264
2456;-50,86;0,0264
2457;-50,84;0,028
2458;-50,82;0,0264
2459;-50,8;0,026
2460;-50,78;0,0256
2461;-50,76;0,026
2462;-50,74;0,0256
2463;-50,72;0,0264
2464;-50,7;0,0248
2465;-50,68;0,0276
2466;-50,66;0,0264
2467;-50,64;0,0276
2468;-50,62;0,0276
2469;-50,6;0,0276
2470;-50,58;0,0276
2471;-50,56;0,0272
2472;-50,54;0,0276
2473;-50,52;0,028
2474;-50,5;0,0276
2475;-50,48;0,0264
2476;-50,46;0,0256
2477;-50,44;0,0264
2478;-50,42;0,0272
2479;-50,4;0,0272
2480;-50,38;0,0272
2481;-50,36;0,0272
2482;-50,34;0,0272
2483;-50,32;0,0272
2484;-50,3;0,0264
2485;-50,28;0,0272
2486;-50,26;0,026
2487;-50,24;0,0272
2488;-50,22;0,0272
2489;-50,2;0,0264
2490;-50,18;0,0264
2491;-50,16;0,0272
2492;-50,14;0,026
2493;-50,12;0,0276
2494;-50,1;0,0244
2495;-50,08;0,0256
2496;-50,06;0,0264
2497;-50,04;0,0276
2498;-50,02;0,0264
2499;-50;0,0248
2500;-49,98;0,0264
2501;-49,96;0,0272
2502;-49,94;0,0264
2503;-49,92;0,0264
2504;-49,9;0,026
2505;-49,88;0,026
2506;-49,86;0,0256
2507;-49,84;0,026
2508;-49,82;0,0248
2509;-49,8;0,0248
2510;-49,78;0,026
2511;-49,76;0,0276
2512;-49,74;0,0272
2513;-49,72;0,0276
2514;-49,7;0,0272
2515;-49,68;0,0276
2516;-49,66;0,0276
2517;-49,64;0,0264
2518;-49,62;0,0248
2519;-49,6;0,0256
2520;-49,58;0,0248
2521;-49,56;0,026
2522;-49,54;0,0272
2523;-49,52;0,0272
2524;-49,5;0,0276
2525;-49,48;0,0272
2526;-49,46;0,026
2527;-49,44;0,0264
2528;-49,42;0,0272
2529;-49,4;0,026
2530;-49,38;0,0264
2531;-49,36;0,0264
2532;-49,34;0,0264
2533;-49,32;0,0272
2534;-49,3;0,0272
2535;-49,28;0,0276
2536;-49,26;0,0292
2537;-49,24;0,0264
2538;-49,22;0,0288
2539;-49,2;0,0264
2540;-49,18;0,0272
2541;-49,16;0,0272
2542;-49,14;0,026
2543;-49,12;0,0264
2544;-49,1;0,0276
2545;-49,08;0,0264
2546;-49,06;0,0272
2547;-49,04;0,0264
2548;-49,02;0,0272
2549;-49;0,0264
2550;-48,98;0,0288
2551;-48,96;0,0264
2552;-48,94;0,0264
2553;-48,92;0,026
2554;-48,9;0,026
2555;-48,88;0,026
2556;-48,86;0,028
2557;-48,84;0,0248
2558;-48,82;0,0264
2559;-48,8;0,026
2560;-48,78;0,0264
2561;-48,76;0,0264
2562;-48,74;0,0264
2563;-48,72;0,0264
2564;-48,7;0,026
2565;-48,68;0,0264
2566;-48,66;0,0264
2567;-48,64;0,0256
2568;-48,62;0,0272
2569;-48,6;0,0276
2570;-48,58;0,0264
2571;-48,56;0,0264
2572;-48,54;0,0264
2573;-48,52;0,026
2574;-48,5;0,0264
2575;-48,48;0,0272
2576;-48,46;0,0272
2577;-48,44;0,0264
2578;-48,42;0,0288
2579;-48,4;0,0264
2580;-48,38;0,0272
2581;-48,36;0,0264
2582;-48,34;0,0272
2583;-48,32;0,026
2584;-48,3;0,0264
2585;-48,28;0,0264
2586;-48,26;0,0256
2587;-48,24;0,026
2588;-48,22;0,026
2589;-48,2;0,0276
2590;-48,18;0,028
2591;-48,16;0,0256
2592;-48,14;0,026
2593;-48,12;0,0256
2594;-48,1;0,026
2595;-48,08;0,026
2596;-48,06;0,0264
2597;-48,04;0,026
2598;-48,02;0,026
2599;-48;0,0272
2600;-47,98;0,0264
2601;-47,96;0,0272
2602;-47,94;0,0264
2603;-47,92;0,026
2604;-47,9;0,026
2605;-47,88;0,0264
2606;-47,86;0,0264
2607;-47,84;0,0264
2608;-47,82;0,026
2609;-47,8;0,0244
2610;-47,78;0,0264
2611;-47,76;0,026
2612;-47,74;0,0264
2613;-47,72;0,0264
2614;-47,7;0,0256
2615;-47,68;0,026
2616;-47,66;0,0264
2617;-47,64;0,026
2618;-47,62;0,0256
2619;-47,6;0,0256
2620;-47,58;0,0264
2621;-47,56;0,026
2622;-47,54;0,026
2623;-47,52;0,0264
2624;-47,5;0,0264
2625;-47,48;0,0272
2626;-47,46;0,0264
2627;-47,44;0,0264
2628;-47,42;0,0264
2629;-47,4;0,026
2630;-47,38;0,026
2631;-47,36;0,0264
2632;-47,34;0,0264
2633;-47,32;0,028
2634;-47,3;0,0256
2635;-47,28;0,0264
2636;-47,26;0,0248
2637;-47,24;0,026
2638;-47,22;0,0244
2639;-47,2;0,0248
2640;-47,18;0,024
2641;-47,16;0,026
2642;-47,14;0,0272
2643;-47,12;0,026
2644;-47,1;0,0264
2645;-47,08;0,028
2646;-47,06;0,028
2647;-47,04;0,0276
2648;-47,02;0,0256
2649;-47;0,0264
2650;-46,98;0,0264
2651;-46,96;0,0272
2652;-46,94;0,0272
2653;-46,92;0,0264
2654;-46,9;0,0272
2655;-46,88;0,0264
2656;-46,86;0,0248
2657;-46,84;0,0264
2658;-46,82;0,0264
2659;-46,8;0,0264
2660;-46,78;0,0276
2661;-46,76;0,028
2662;-46,74;0,0272
2663;-46,72;0,0272
2664;-46,7;0,0276
2665;-46,68;0,0272
2666;-46,66;0,0272
2667;-46,64;0,0276
2668;-46,62;0,0272
2669;-46,6;0,0264
2670;-46,58;0,026
2671;-46,56;0,028
2672;-46,54;0,0272
2673;-46,52;0,0232
2674;-46,5;0,026
2675;-46,48;0,0276
2676;-46,46;0,0264
2677;-46,44;0,0272
2678;-46,42;0,0276
2679;-46,4;0,0248
2680;-46,38;0,0272
2681;-46,36;0,0288
2682;-46,34;0,0272
2683;-46,32;0,0272
2684;-46,3;0,0304
2685;-46,28;0,0256
2686;-46,26;0,0264
2687;-46,24;0,0264
2688;-46,22;0,028
2689;-46,2;0,0272
2690;-46,18;0,0272
2691;-46,16;0,0272
2692;-46,14;0,0264
2693;-46,12;0,0264
2694;-46,1;0,0272
2695;-46,08;0,0264
2696;-46,06;0,0272
2697;-46,04;0,0264
2698;-46,02;0,026
2699;-46;0,0272
2700;-45,98;0,0272
2701;-45,96;0,028
2702;-45,94;0,0288
2703;-45,92;0,0272
2704;-45,9;0,0272
2705;-45,88;0,0264
2706;-45,86;0,026
2707;-45,84;0,0256
2708;-45,82;0,0256
2709;-45,8;0,0264
2710;-45,78;0,0264
2711;-45,76;0,0272
2712;-45,74;0,0272
2713;-45,72;0,0264
2714;-45,7;0,0272
2715;-45,68;0,0256
2716;-45,66;0,0264
2717;-45,64;0,028
2718;-45,62;0,026
2719;-45,6;0,0264
2720;-45,58;0,0264
2721;-45,56;0,0264
2722;-45,54;0,0256
2723;-45,52;0,0264
2724;-45,5;0,026
2725;-45,48;0,0288
2726;-45,46;0,0272
2727;-45,44;0,0272
2728;-45,42;0,0264
2729;-45,4;0,0272
2730;-45,38;0,0244
2731;-45,36;0,026
2732;-45,34;0,026
2733;-45,32;0,0276
2734;-45,3;0,0228
2735;-45,28;0,026
2736;-45,26;0,0256
2737;-45,24;0,026
2738;-45,22;0,026
2739;-45,2;0,026
2740;-45,18;0,026
2741;-45,16;0,026
2742;-45,14;0,0256
2743;-45,12;0,0256
2744;-45,1;0,0244
2745;-45,08;0,0248
2746;-45,06;0,024
2747;-45,04;0,0232
2748;-45,02;0,0256
2749;-45;0,0256
2750;-44,98;0,0256
2751;-44,96;0,0256
2752;-44,94;0,0256
2753;-44,92;0,0256
2754;-44,9;0,0244
2755;-44,88;0,0256
2756;-44,86;0,0256
2757;-44,84;0,0256
2758;-44,82;0,024
2759;-44,8;0,0248
2760;-44,78;0,0256
2761;-44,76;0,026
2762;-44,74;0,0264
2763;-44,72;0,0276
2764;-44,7;0,0272
2765;-44,68;0,0272
2766;-44,66;0,0256
2767;-44,64;0,0256
2768;-44,62;0,026
2769;-44,6;0,0256
2770;-44,58;0,0248
2771;-44,56;0,0256
2772;-44,54;0,026
2773;-44,52;0,0256
2774;-44,5;0,0196
2775;-44,48;0,026
2776;-44,46;0,0248
2777;-44,44;0,0256
2778;-44,42;0,0256
2779;-44,4;0,0272
2780;-44,38;0,026
2781;-44,36;0,026
2782;-44,34;0,026
2783;-44,32;0,0232
2784;-44,3;0,0256
2785;-44,28;0,0264
2786;-44,26;0,024
2787;-44,24;0,024
2788;-44,22;0,024
2789;-44,2;0,0248
2790;-44,18;0,0244
2791;-44,16;0,0256
2792;-44,14;0,0264
2793;-44,12;0,0272
2794;-44,1;0,026
2795;-44,08;0,0264
2796;-44,06;0,0256
2797;-44,04;0,0272
2798;-44,02;0,026
2799;-44;0,026
2800;-43,98;0,026
2801;-43,96;0,026
2802;-43,94;0,0256
2803;-43,92;0,0256
2804;-43,9;0,0244
2805;-43,88;0,026
2806;-43,86;0,0256
2807;-43,84;0,0256
2808;-43,82;0,0256
2809;-43,8;0,0264
2810;-43,78;0,026
2811;-43,76;0,026
2812;-43,74;0,0264
2813;-43,72;0,0256
2814;-43,7;0,0256
2815;-43,68;0,0248
2816;-43,66;0,026
2817;-43,64;0,0228
2818;-43,62;0,0248
2819;-43,6;0,0248
2820;-43,58;0,0244
2821;-43,56;0,0256
2822;-43,54;0,0244
2823;-43,52;0,026
2824;-43,5;0,026
2825;-43,48;0,0248
2826;-43,46;0,0248
2827;-43,44;0,0264
2828;-43,42;0,026
2829;-43,4;0,026
2830;-43,38;0,0256
2831;-43,36;0,0264
2832;-43,34;0,0256
2833;-43,32;0,0264
2834;-43,3;0,0228
2835;-43,28;0,0232
2836;-43,26;0,0228
2837;-43,24;0,0244
2838;-43,22;0,026
2839;-43,2;0,026
2840;-43,18;0,026
2841;-43,16;0,0256
2842;-43,14;0,0256
2843;-43,12;0,024
2844;-43,1;0,024
2845;-43,08;0,0228
2846;-43,06;0,0244
2847;-43,04;0,0248
2848;-43,02;0,0248
2849;-43;0,0232
2850;-42,98;0,0216
2851;-42,96;0,026
2852;-42,94;0,0256
2853;-42,92;0,024
2854;-42,9;0,0256
2855;-42,88;0,028
2856;-42,86;0,026
2857;-42,84;0,0256
2858;-42,82;0,026
2859;-42,8;0,0272
2860;-42,78;0,0272
2861;-42,76;0,0256
2862;-42,74;0,0264
2863;-42,72;0,0244
2864;-42,7;0,0256
2865;-42,68;0,026
2866;-42,66;0,0272
2867;-42,64;0,026
2868;-42,62;0,0248
2869;-42,6;0,0256
2870;-42,58;0,0244
2871;-42,56;0,0248
2872;-42,54;0,0248
2873;-42,52;0,0256
2874;-42,5;0,0256
2875;-42,48;0,028
2876;-42,46;0,028
2877;-42,44;0,026
2878;-42,42;0,0256
2879;-42,4;0,0256
2880;-42,38;0,0256
2881;-42,36;0,0256
2882;-42,34;0,0256
2883;-42,32;0,0256
2884;-42,3;0,0256
2885;-42,28;0,0256
2886;-42,26;0,026
2887;-42,24;0,0256
2888;-42,22;0,0264
2889;-42,2;0,0248
2890;-42,18;0,0256
2891;-42,16;0,0256
2892;-42,14;0,0248
2893;-42,12;0,0248
2894;-42,1;0,0256
2895;-42,08;0,0248
2896;-42,06;0,0264
2897;-42,04;0,0256
2898;-42,02;0,026
2899;-42;0,026
2900;-41,98;0,0256
2901;-41,96;0,0276
2902;-41,94;0,0256
2903;-41,92;0,026
2904;-41,9;0,026
2905;-41,88;0,026
2906;-41,86;0,0264
2907;-41,84;0,0244
2908;-41,82;0,026
2909;-41,8;0,0264
2910;-41,78;0,028
2911;-41,76;0,0248
2912;-41,74;0,0256
2913;-41,72;0,0256
2914;-41,7;0,0256
2915;-41,68;0,0232
2916;-41,66;0,024
2917;-41,64;0,0256
2918;-41,62;0,0248
2919;-41,6;0,0256
2920;-41,58;0,026
2921;-41,56;0,0264
2922;-41,54;0,0248
2923;-41,52;0,0256
2924;-41,5;0,026
2925;-41,48;0,0256
2926;-41,46;0,026
2927;-41,44;0,026
2928;-41,42;0,0248
2929;-41,4;0,0256
2930;-41,38;0,0228
2931;-41,36;0,0256
2932;-41,34;0,0256
2933;-41,32;0,0248
2934;-41,3;0,026
2935;-41,28;0,0232
2936;-41,26;0,0256
2937;-41,24;0,0248
2938;-41,22;0,0256
2939;-41,2;0,0256
2940;-41,18;0,026
2941;-41,16;0,0244
2942;-41,14;0,0256
2943;-41,12;0,0256
2944;-41,1;0,0248
2945;-41,08;0,0244
2946;-41,06;0,0248
2947;-41,04;0,0272
2948;-41,02;0,0256
2949;-41;0,0256
2950;-40,98;0,0244
2951;-40,96;0,0244
2952;-40,94;0,0208
2953;-40,92;0,0244
2954;-40,9;0,024
2955;-40,88;0,0248
2956;-40,86;0,0244
2957;-40,84;0,0248
2958;-40,82;0,0248
2959;-40,8;0,0244
2960;-40,78;0,0244
2961;-40,76;0,024
2962;-40,74;0,0248
2963;-40,72;0,0232
2964;-40,7;0,0248
2965;-40,68;0,0256
2966;-40,66;0,0248
2967;-40,64;0,0244
2968;-40,62;0,0248
2969;-40,6;0,0248
2970;-40,58;0,0224
2971;-40,56;0,024
2972;-40,54;0,0244
2973;-40,52;0,024
2974;-40,5;0,0248
2975;-40,48;0,0244
2976;-40,46;0,0224
2977;-40,44;0,0232
2978;-40,42;0,0244
2979;-40,4;0,0248
2980;-40,38;0,0232
2981;-40,36;0,024
2982;-40,34;0,0256
2983;-40,32;0,024
2984;-40,3;0,0248
2985;-40,28;0,0232
2986;-40,26;0,0244
2987;-40,24;0,0244
2988;-40,22;0,0244
2989;-40,2;0,0248
2990;-40,18;0,024
2991;-40,16;0,024
2992;-40,14;0,0244
2993;-40,12;0,0244
2994;-40,1;0,0232
2995;-40,08;0,0244
2996;-40,06;0,024
2997;-40,04;0,024
2998;-40,02;0,0244
2999;-40;0,0232
3000;-39,98;0,0232
3001;-39,96;0,0264
3002;-39,94;0,0232
3003;-39,92;0,0232
3004;-39,9;0,024
3005;-39,88;0,0244
3006;-39,86;0,0248
3007;-39,84;0,0256
3008;-39,82;0,024
3009;-39,8;0,0248
3010;-39,78;0,024
3011;-39,76;0,026
3012;-39,74;0,0232
3013;-39,72;0,0248
3014;-39,7;0,0224
3015;-39,68;0,0224
3016;-39,66;0,0224
3017;-39,64;0,024
3018;-39,62;0,0248
3019;-39,6;0,0256
3020;-39,58;0,0256
3021;-39,56;0,0248
3022;-39,54;0,0256
3023;-39,52;0,0248
3024;-39,5;0,024
3025;-39,48;0,0244
3026;-39,46;0,0244
3027;-39,44;0,0232
3028;-39,42;0,0232
3029;-39,4;0,0244
3030;-39,38;0,0264
3031;-39,36;0,0244
3032;-39,34;0,0228
3033;-39,32;0,024
3034;-39,3;0,0232
3035;-39,28;0,0244
3036;-39,26;0,0248
3037;-39,24;0,0248
3038;-39,22;0,024
3039;-39,2;0,0248
3040;-39,18;0,0232
3041;-39,16;0,0244
3042;-39,14;0,024
3043;-39,12;0,0248
3044;-39,1;0,024
3045;-39,08;0,0244
3046;-39,06;0,0248
3047;-39,04;0,0232
3048;-39,02;0,0244
3049;-39;0,0244
3050;-38,98;0,0244
3051;-38,96;0,0248
3052;-38,94;0,0244
3053;-38,92;0,0248
3054;-38,9;0,0244
3055;-38,88;0,024
3056;-38,86;0,0248
3057;-38,84;0,0248
3058;-38,82;0,0272
3059;-38,8;0,0244
3060;-38,78;0,0248
3061;-38,76;0,0244
3062;-38,74;0,0232
3063;-38,72;0,0248
3064;-38,7;0,0276
3065;-38,68;0,024
3066;-38,66;0,0216
3067;-38,64;0,0232
3068;-38,62;0,0224
3069;-38,6;0,0248
3070;-38,58;0,0244
3071;-38,56;0,0244
3072;-38,54;0,0256
3073;-38,52;0,0244
3074;-38,5;0,0248
3075;-38,48;0,0244
3076;-38,46;0,024
3077;-38,44;0,0224
3078;-38,42;0,024
3079;-38,4;0,0232
3080;-38,38;0,0264
3081;-38,36;0,0264
3082;-38,34;0,0244
3083;-38,32;0,0244
3084;-38,3;0,0248
3085;-38,28;0,0248
3086;-38,26;0,0244
3087;-38,24;0,0244
3088;-38,22;0,0244
3089;-38,2;0,0256
3090;-38,18;0,0248
3091;-38,16;0,0244
3092;-38,14;0,0264
3093;-38,12;0,0248
3094;-38,1;0,0256
3095;-38,08;0,026
3096;-38,06;0,0208
3097;-38,04;0,024
3098;-38,02;0,0232
3099;-38;0,024
3100;-37,98;0,026
3101;-37,96;0,026
3102;-37,94;0,024
3103;-37,92;0,0244
3104;-37,9;0,024
3105;-37,88;0,0244
3106;-37,86;0,0244
3107;-37,84;0,0248
3108;-37,82;0,0244
3109;-37,8;0,024
3110;-37,78;0,0244
3111;-37,76;0,0244
3112;-37,74;0,0244
3113;-37,72;0,0244
3114;-37,7;0,0244
3115;-37,68;0,026
3116;-37,66;0,024
3117;-37,64;0,0208
3118;-37,62;0,024
3119;-37,6;0,0244
3120;-37,58;0,0216
3121;-37,56;0,0232
3122;-37,54;0,0228
3123;-37,52;0,024
3124;-37,5;0,0232
3125;-37,48;0,0244
3126;-37,46;0,0256
3127;-37,44;0,024
3128;-37,42;0,0232
3129;-37,4;0,0224
3130;-37,38;0,024
3131;-37,36;0,0244
3132;-37,34;0,0232
3133;-37,32;0,0192
3134;-37,3;0,0228
3135;-37,28;0,0228
3136;-37,26;0,0228
3137;-37,24;0,0232
3138;-37,22;0,0232
3139;-37,2;0,0232
3140;-37,18;0,024
3141;-37,16;0,0224
3142;-37,14;0,024
3143;-37,12;0,0228
3144;-37,1;0,024
3145;-37,08;0,024
3146;-37,06;0,024
3147;-37,04;0,0232
3148;-37,02;0,0232
3149;-37;0,0248
3150;-36,98;0,024
3151;-36,96;0,0244
3152;-36,94;0,024
3153;-36,92;0,024
3154;-36,9;0,024
3155;-36,88;0,0224
3156;-36,86;0,0232
3157;-36,84;0,024
3158;-36,82;0,0228
3159;-36,8;0,024
3160;-36,78;0,0232
3161;-36,76;0,0244
3162;-36,74;0,0244
3163;-36,72;0,026
3164;-36,7;0,0228
3165;-36,68;0,0248
3166;-36,66;0,0244
3167;-36,64;0,024
3168;-36,62;0,0244
3169;-36,6;0,0256
3170;-36,58;0,0244
3171;-36,56;0,0248
3172;-36,54;0,0244
3173;-36,52;0,0256
3174;-36,5;0,0244
3175;-36,48;0,0256
3176;-36,46;0,0256
3177;-36,44;0,0248
3178;-36,42;0,0248
3179;-36,4;0,0244
3180;-36,38;0,024
3181;-36,36;0,0244
3182;-36,34;0,0248
3183;-36,32;0,0248
3184;-36,3;0,0256
3185;-36,28;0,0244
3186;-36,26;0,0244
3187;-36,24;0,0244
3188;-36,22;0,024
3189;-36,2;0,024
3190;-36,18;0,024
3191;-36,16;0,0228
3192;-36,14;0,0248
3193;-36,12;0,0256
3194;-36,1;0,0244
3195;-36,08;0,0256
3196;-36,06;0,026
3197;-36,04;0,024
3198;-36,02;0,0248
3199;-36;0,0244
3200;-35,98;0,024
3201;-35,96;0,024
3202;-35,94;0,0244
3203;-35,92;0,0244
3204;-35,9;0,0244
3205;-35,88;0,0244
3206;-35,86;0,0244
3207;-35,84;0,0244
3208;-35,82;0,024
3209;-35,8;0,024
3210;-35,78;0,0244
3211;-35,76;0,0244
3212;-35,74;0,0244
3213;-35,72;0,0248
3214;-35,7;0,0256
3215;-35,68;0,026
3216;-35,66;0,0232
3217;-35,64;0,0244
3218;-35,62;0,0244
3219;-35,6;0,028
3220;-35,58;0,024
3221;-35,56;0,0244
3222;-35,54;0,0244
3223;-35,52;0,0244
3224;-35,5;0,0244
3225;-35,48;0,024
3226;-35,46;0,0256
3227;-35,44;0,024
3228;-35,42;0,0232
3229;-35,4;0,0244
3230;-35,38;0,024
3231;-35,36;0,024
3232;-35,34;0,0228
3233;-35,32;0,0244
3234;-35,3;0,0244
3235;-35,28;0,0244
3236;-35,26;0,0244
3237;-35,24;0,0216
3238;-35,22;0,0244
3239;-35,2;0,0248
3240;-35,18;0,0244
3241;-35,16;0,024
3242;-35,14;0,0224
3243;-35,12;0,0232
3244;-35,1;0,024
3245;-35,08;0,024
3246;-35,06;0,024
3247;-35,04;0,0244
3248;-35,02;0,0244
3249;-35;0,024
3250;-34,98;0,024
3251;-34,96;0,0264
3252;-34,94;0,026
3253;-34,92;0,0256
3254;-34,9;0,0272
3255;-34,88;0,0272
3256;-34,86;0,028
3257;-34,84;0,0288
3258;-34,82;0,0288
3259;-34,8;0,0288
3260;-34,78;0,0292
3261;-34,76;0,0304
3262;-34,74;0,0304
3263;-34,72;0,032
3264;-34,7;0,0328
3265;-34,68;0,032
3266;-34,66;0,034
3267;-34,64;0,0384
3268;-34,62;0,0356
3269;-34,6;0,0352
3270;-34,58;0,0344
3271;-34,56;0,0352
3272;-34,54;0,0368
3273;-34,52;0,0388
3274;-34,5;0,0388
3275;-34,48;0,0416
3276;-34,46;0,0416
3277;-34,44;0,0416
3278;-34,42;0,0432
3279;-34,4;0,0452
3280;-34,38;0,0452
3281;-34,36;0,0464
3282;-34,34;0,0472
3283;-34,32;0,0488
3284;-34,3;0,0488
3285;-34,28;0,0504
3286;-34,26;0,05
3287;-34,24;0,0512
3288;-34,22;0,052
3289;-34,2;0,0532
3290;-34,18;0,0532
3291;-34,16;0,0536
3292;-34,14;0,0496
3293;-34,12;0,054
3294;-34,1;0,054
3295;-34,08;0,0548
3296;-34,06;0,0536
3297;-34,04;0,0548
3298;-34,02;0,0548
3299;-34;0,0552
3300;-33,98;0,0556
3301;-33,96;0,0556
3302;-33,94;0,0564
3303;-33,92;0,0564
3304;-33,9;0,0564
3305;-33,88;0,0564
3306;-33,86;0,0556
3307;-33,84;0,0572
3308;-33,82;0,0564
3309;-33,8;0,0568
3310;-33,78;0,0568
3311;-33,76;0,0572
3312;-33,74;0,0548
3313;-33,72;0,0568
3314;-33,7;0,0552
3315;-33,68;0,0572
3316;-33,66;0,0568
3317;-33,64;0,0564
3318;-33,62;0,0556
3319;-33,6;0,0584
3320;-33,58;0,0584
3321;-33,56;0,06
3322;-33,54;0,0584
3323;-33,52;0,0588
3324;-33,5;0,0572
3325;-33,48;0,058
3326;-33,46;0,0568
3327;-33,44;0,0572
3328;-33,42;0,0568
3329;-33,4;0,058
3330;-33,38;0,0572
3331;-33,36;0,058
3332;-33,34;0,0572
3333;-33,32;0,058
3334;-33,3;0,0572
3335;-33,28;0,0572
3336;-33,26;0,0572
3337;-33,24;0,058
3338;-33,22;0,0572
3339;-33,2;0,058
3340;-33,18;0,0584
3341;-33,16;0,058
3342;-33,14;0,0584
3343;-33,12;0,0588
3344;-33,1;0,0584
3345;-33,08;0,0588
3346;-33,06;0,0588
3347;-33,04;0,058
3348;-33,02;0,058
3349;-33;0,0584
3350;-32,98;0,0568
3351;-32,96;0,0556
3352;-32,94;0,0548
3353;-32,92;0,0552
3354;-32,9;0,0548
3355;-32,88;0,054
3356;-32,86;0,0536
3357;-32,84;0,0532
3358;-32,82;0,0532
3359;-32,8;0,0532
3360;-32,78;0,0524
3361;-32,76;0,0532
3362;-32,74;0,052
3363;-32,72;0,0532
3364;-32,7;0,0516
3365;-32,68;0,0516
3366;-32,66;0,0504
3367;-32,64;0,0512
3368;-32,62;0,05
3369;-32,6;0,0496
3370;-32,58;0,0488
3371;-32,56;0,0488
3372;-32,54;0,0484
3373;-32,52;0,048
3374;-32,5;0,0484
3375;-32,48;0,0472
3376;-32,46;0,0468
3377;-32,44;0,0472
3378;-32,42;0,0472
3379;-32,4;0,0488
3380;-32,38;0,0484
3381;-32,36;0,0488
3382;-32,34;0,0488
3383;-32,32;0,0488
3384;-32,3;0,0484
3385;-32,28;0,0488
3386;-32,26;0,0472
3387;-32,24;0,048
3388;-32,22;0,0468
3389;-32,2;0,0468
3390;-32,18;0,0468
3391;-32,16;0,0468
3392;-32,14;0,0468
3393;-32,12;0,0468
3394;-32,1;0,0472
3395;-32,08;0,0472
3396;-32,06;0,0468
3397;-32,04;0,0468
3398;-32,02;0,0472
3399;-32;0,0468
3400;-31,98;0,0464
3401;-31,96;0,0464
3402;-31,94;0,0452
3403;-31,92;0,0452
3404;-31,9;0,0436
3405;-31,88;0,0436
3406;-31,86;0,0424
3407;-31,84;0,04
3408;-31,82;0,04
3409;-31,8;0,042
3410;-31,78;0,042
3411;-31,76;0,0432
3412;-31,74;0,042
3413;-31,72;0,0424
3414;-31,7;0,0424
3415;-31,68;0,0424
3416;-31,66;0,0416
3417;-31,64;0,0416
3418;-31,62;0,0404
3419;-31,6;0,0408
3420;-31,58;0,0408
3421;-31,56;0,0408
3422;-31,54;0,0392
3423;-31,52;0,0408
3424;-31,5;0,04
3425;-31,48;0,0404
3426;-31,46;0,0392
3427;-31,44;0,04
3428;-31,42;0,0392
3429;-31,4;0,0404
3430;-31,38;0,04
3431;-31,36;0,0392
3432;-31,34;0,0388
3433;-31,32;0,0392
3434;-31,3;0,0388
3435;-31,28;0,0392
3436;-31,26;0,0388
3437;-31,24;0,0388
3438;-31,22;0,0376
3439;-31,2;0,0384
3440;-31,18;0,0376
3441;-31,16;0,0388
3442;-31,14;0,0376
3443;-31,12;0,0376
3444;-31,1;0,0372
3445;-31,08;0,0376
3446;-31,06;0,0368
3447;-31,04;0,0368
3448;-31,02;0,0368
3449;-31;0,0368
3450;-30,98;0,0372
3451;-30,96;0,0368
3452;-30,94;0,0368
3453;-30,92;0,036
3454;-30,9;0,036
3455;-30,88;0,0368
3456;-30,86;0,036
3457;-30,84;0,036
3458;-30,82;0,036
3459;-30,8;0,0372
3460;-30,78;0,036
3461;-30,76;0,0368
3462;-30,74;0,036
3463;-30,72;0,036
3464;-30,7;0,036
3465;-30,68;0,036
3466;-30,66;0,0368
3467;-30,64;0,0368
3468;-30,62;0,036
3469;-30,6;0,0368
3470;-30,58;0,0368
3471;-30,56;0,0368
3472;-30,54;0,0368
3473;-30,52;0,0368
3474;-30,5;0,036
3475;-30,48;0,036
3476;-30,46;0,0356
3477;-30,44;0,036
3478;-30,42;0,0352
3479;-30,4;0,0352
3480;-30,38;0,0356
3481;-30,36;0,0356
3482;-30,34;0,0352
3483;-30,32;0,0356
3484;-30,3;0,0352
3485;-30,28;0,0356
3486;-30,26;0,0352
3487;-30,24;0,0352
3488;-30,22;0,0352
3489;-30,2;0,0352
3490;-30,18;0,0352
3491;-30,16;0,0344
3492;-30,14;0,034
3493;-30,12;0,0344
3494;-30,1;0,034
3495;-30,08;0,0344
3496;-30,06;0,0344
3497;-30,04;0,034
3498;-30,02;0,0344
3499;-30;0,034
