Номер отсчёта;Время, с;Напряжение 2_19.06_lmax-1, В
269;-94,6;0,0256
270;-94,58;0,026
271;-94,56;0,0256
272;-94,54;0,0256
273;-94,52;0,0256
274;-94,5;0,0256
275;-94,48;0,0256
276;-94,46;0,0256
277;-94,44;0,0248
278;-94,42;0,0256
279;-94,4;0,026
280;-94,38;0,0256
281;-94,36;0,026
282;-94,34;0,026
283;-94,32;0,026
284;-94,3;0,0264
285;-94,28;0,0264
286;-94,26;0,0264
287;-94,24;0,0264
288;-94,22;0,0264
289;-94,2;0,026
290;-94,18;0,0264
291;-94,16;0,0256
292;-94,14;0,026
293;-94,12;0,0256
294;-94,1;0,0224
295;-94,08;0,024
296;-94,06;0,0232
297;-94,04;0,0244
298;-94,02;0,0216
299;-94;0,0232
300;-93,98;0,0224
301;-93,96;0,0228
302;-93,94;0,024
303;-93,92;0,0248
304;-93,9;0,0256
305;-93,88;0,0256
306;-93,86;0,0256
307;-93,84;0,0248
308;-93,82;0,0248
309;-93,8;0,0248
310;-93,78;0,0248
311;-93,76;0,0248
312;-93,74;0,0248
313;-93,72;0,0256
314;-93,7;0,0248
315;-93,68;0,0248
316;-93,66;0,0244
317;-93,64;0,0244
318;-93,62;0,0244
319;-93,6;0,0248
320;-93,58;0,0256
321;-93,56;0,0248
322;-93,54;0,0244
323;-93,52;0,0248
324;-93,5;0,0256
325;-93,48;0,0256
326;-93,46;0,0256
327;-93,44;0,0248
328;-93,42;0,024
329;-93,4;0,0232
330;-93,38;0,0228
331;-93,36;0,0248
332;-93,34;0,0256
333;-93,32;0,0256
334;-93,3;0,0244
335;-93,28;0,026
336;-93,26;0,026
337;-93,24;0,026
338;-93,22;0,0264
339;-93,2;0,0264
340;-93,18;0,0264
341;-93,16;0,0264
342;-93,14;0,0264
343;-93,12;0,0264
344;-93,1;0,0264
345;-93,08;0,026
346;-93,06;0,0256
347;-93,04;0,026
348;-93,02;0,026
349;-93;0,0256
350;-92,98;0,0248
351;-92,96;0,0256
352;-92,94;0,0256
353;-92,92;0,0264
354;-92,9;0,026
355;-92,88;0,0264
356;-92,86;0,0264
357;-92,84;0,026
358;-92,82;0,026
359;-92,8;0,0264
360;-92,78;0,0264
361;-92,76;0,0264
362;-92,74;0,0272
363;-92,72;0,0272
364;-92,7;0,0264
365;-92,68;0,0264
366;-92,66;0,0276
367;-92,64;0,0264
368;-92,62;0,026
369;-92,6;0,026
370;-92,58;0,0264
371;-92,56;0,026
372;-92,54;0,026
373;-92,52;0,0256
374;-92,5;0,0256
375;-92,48;0,0272
376;-92,46;0,0264
377;-92,44;0,0272
378;-92,42;0,0272
379;-92,4;0,026
380;-92,38;0,0264
381;-92,36;0,0276
382;-92,34;0,0256
383;-92,32;0,0264
384;-92,3;0,026
385;-92,28;0,0264
386;-92,26;0,026
387;-92,24;0,0276
388;-92,22;0,026
389;-92,2;0,0264
390;-92,18;0,026
391;-92,16;0,0264
392;-92,14;0,026
393;-92,12;0,0264
394;-92,1;0,0264
395;-92,08;0,0272
396;-92,06;0,026
397;-92,04;0,0264
398;-92,02;0,026
399;-92;0,0264
400;-91,98;0,026
401;-91,96;0,0264
402;-91,94;0,0264
403;-91,92;0,026
404;-91,9;0,026
405;-91,88;0,026
406;-91,86;0,0264
407;-91,84;0,026
408;-91,82;0,0264
409;-91,8;0,026
410;-91,78;0,0256
411;-91,76;0,026
412;-91,74;0,0264
413;-91,72;0,0264
414;-91,7;0,026
415;-91,68;0,0264
416;-91,66;0,026
417;-91,64;0,0264
418;-91,62;0,0264
419;-91,6;0,0264
420;-91,58;0,0264
421;-91,56;0,0264
422;-91,54;0,0264
423;-91,52;0,0264
424;-91,5;0,026
425;-91,48;0,0256
426;-91,46;0,0264
427;-91,44;0,0264
428;-91,42;0,0264
429;-91,4;0,026
430;-91,38;0,0272
431;-91,36;0,0264
432;-91,34;0,0264
433;-91,32;0,0264
434;-91,3;0,026
435;-91,28;0,026
436;-91,26;0,0256
437;-91,24;0,0264
438;-91,22;0,0272
439;-91,2;0,0264
440;-91,18;0,0264
441;-91,16;0,0264
442;-91,14;0,0264
443;-91,12;0,0264
444;-91,1;0,0264
445;-91,08;0,0264
446;-91,06;0,0264
447;-91,04;0,026
448;-91,02;0,026
449;-91;0,0264
450;-90,98;0,0272
451;-90,96;0,026
452;-90,94;0,0264
453;-90,92;0,0272
454;-90,9;0,0276
455;-90,88;0,0264
456;-90,86;0,0276
457;-90,84;0,0272
458;-90,82;0,028
459;-90,8;0,0276
460;-90,78;0,028
461;-90,76;0,0276
462;-90,74;0,0288
463;-90,72;0,0276
464;-90,7;0,0272
465;-90,68;0,0272
466;-90,66;0,0264
467;-90,64;0,0256
468;-90,62;0,0264
469;-90,6;0,0248
470;-90,58;0,024
471;-90,56;0,0244
472;-90,54;0,0244
473;-90,52;0,0264
474;-90,5;0,0264
475;-90,48;0,0288
476;-90,46;0,0272
477;-90,44;0,0272
478;-90,42;0,0272
479;-90,4;0,0276
480;-90,38;0,0276
481;-90,36;0,028
482;-90,34;0,0272
483;-90,32;0,0264
484;-90,3;0,0276
