Номер отсчёта;Время, с;Напряжение 1_19.06_lmax, В
2380;-52,38;0,0224
2381;-52,36;0,0224
2382;-52,34;0,0216
2383;-52,32;0,0212
2384;-52,3;0,0216
2385;-52,28;0,0212
2386;-52,26;0,0216
2387;-52,24;0,0216
2388;-52,22;0,0216
2389;-52,2;0,0224
2390;-52,18;0,0224
2391;-52,16;0,0224
2392;-52,14;0,0224
2393;-52,12;0,0212
2394;-52,1;0,0228
2395;-52,08;0,0224
2396;-52,06;0,0228
2397;-52,04;0,0224
2398;-52,02;0,0224
2399;-52;0,0228
2400;-51,98;0,0216
2401;-51,96;0,0228
2402;-51,94;0,0224
2403;-51,92;0,0216
2404;-51,9;0,0228
2405;-51,88;0,0228
2406;-51,86;0,0228
2407;-51,84;0,0224
2408;-51,82;0,0228
2409;-51,8;0,0216
2410;-51,78;0,0224
2411;-51,76;0,0224
2412;-51,74;0,0216
2413;-51,72;0,0216
2414;-51,7;0,0224
2415;-51,68;0,0216
2416;-51,66;0,0216
2417;-51,64;0,0224
2418;-51,62;0,0216
2419;-51,6;0,0224
2420;-51,58;0,0228
2421;-51,56;0,0224
2422;-51,54;0,0216
2423;-51,52;0,0216
2424;-51,5;0,0228
2425;-51,48;0,0216
2426;-51,46;0,0216
2427;-51,44;0,0224
2428;-51,42;0,0224
2429;-51,4;0,0224
2430;-51,38;0,0216
2431;-51,36;0,0224
2432;-51,34;0,0216
2433;-51,32;0,0224
2434;-51,3;0,0224
2435;-51,28;0,0216
2436;-51,26;0,0212
2437;-51,24;0,0224
2438;-51,22;0,0224
2439;-51,2;0,0224
2440;-51,18;0,0224
2441;-51,16;0,0224
2442;-51,14;0,0228
2443;-51,12;0,0224
2444;-51,1;0,0228
2445;-51,08;0,0228
2446;-51,06;0,0228
2447;-51,04;0,0224
2448;-51,02;0,0224
2449;-51;0,0224
2450;-50,98;0,0224
2451;-50,96;0,0228
2452;-50,94;0,0216
2453;-50,92;0,024
2454;-50,9;0,0224
2455;-50,88;0,0224
2456;-50,86;0,0224
2457;-50,84;0,0228
2458;-50,82;0,0232
2459;-50,8;0,0216
2460;-50,78;0,0224
2461;-50,76;0,0224
2462;-50,74;0,0224
2463;-50,72;0,0228
2464;-50,7;0,0228
2465;-50,68;0,0228
2466;-50,66;0,0232
2467;-50,64;0,0228
2468;-50,62;0,0224
2469;-50,6;0,0224
2470;-50,58;0,0224
2471;-50,56;0,0224
2472;-50,54;0,0228
2473;-50,52;0,0232
2474;-50,5;0,0228
2475;-50,48;0,0228
2476;-50,46;0,0216
2477;-50,44;0,0224
2478;-50,42;0,0228
2479;-50,4;0,0232
2480;-50,38;0,0228
2481;-50,36;0,0228
2482;-50,34;0,0228
2483;-50,32;0,0232
2484;-50,3;0,0224
2485;-50,28;0,0228
2486;-50,26;0,0224
2487;-50,24;0,0216
2488;-50,22;0,0216
2489;-50,2;0,0216
2490;-50,18;0,0224
2491;-50,16;0,0228
2492;-50,14;0,0224
2493;-50,12;0,0224
2494;-50,1;0,024
2495;-50,08;0,0224
2496;-50,06;0,0224
2497;-50,04;0,0224
2498;-50,02;0,0224
2499;-50;0,0216
2500;-49,98;0,0216
2501;-49,96;0,0224
2502;-49,94;0,0224
2503;-49,92;0,0216
2504;-49,9;0,0216
2505;-49,88;0,0216
2506;-49,86;0,0224
2507;-49,84;0,0228
2508;-49,82;0,0232
2509;-49,8;0,0228
2510;-49,78;0,0228
2511;-49,76;0,0228
2512;-49,74;0,0228
2513;-49,72;0,0228
2514;-49,7;0,0228
2515;-49,68;0,0228
2516;-49,66;0,0224
2517;-49,64;0,0228
2518;-49,62;0,0232
2519;-49,6;0,0228
2520;-49,58;0,0228
2521;-49,56;0,0216
2522;-49,54;0,0224
2523;-49,52;0,0224
2524;-49,5;0,0224
2525;-49,48;0,0232
2526;-49,46;0,0228
2527;-49,44;0,0228
2528;-49,42;0,0228
2529;-49,4;0,0224
2530;-49,38;0,0228
2531;-49,36;0,0228
2532;-49,34;0,0228
2533;-49,32;0,0228
2534;-49,3;0,024
2535;-49,28;0,0228
2536;-49,26;0,0228
2537;-49,24;0,0228
2538;-49,22;0,0232
2539;-49,2;0,0228
2540;-49,18;0,0224
2541;-49,16;0,0224
2542;-49,14;0,0228
2543;-49,12;0,0228
2544;-49,1;0,0228
2545;-49,08;0,0232
2546;-49,06;0,0232
2547;-49,04;0,0232
2548;-49,02;0,0228
2549;-49;0,0228
2550;-48,98;0,0232
2551;-48,96;0,0228
2552;-48,94;0,0232
2553;-48,92;0,0224
2554;-48,9;0,0228
2555;-48,88;0,0228
2556;-48,86;0,0228
2557;-48,84;0,0228
2558;-48,82;0,0232
2559;-48,8;0,0228
2560;-48,78;0,0228
2561;-48,76;0,0216
2562;-48,74;0,0224
2563;-48,72;0,0224
2564;-48,7;0,0232
2565;-48,68;0,0216
2566;-48,66;0,0224
2567;-48,64;0,0228
2568;-48,62;0,0228
2569;-48,6;0,0228
2570;-48,58;0,024
2571;-48,56;0,0224
2572;-48,54;0,0224
2573;-48,52;0,0224
2574;-48,5;0,0228
2575;-48,48;0,0212
2576;-48,46;0,0228
2577;-48,44;0,0224
2578;-48,42;0,0232
2579;-48,4;0,0224
2580;-48,38;0,0232
2581;-48,36;0,0212
2582;-48,34;0,0224
2583;-48,32;0,0224
2584;-48,3;0,0232
2585;-48,28;0,0224
2586;-48,26;0,0216
2587;-48,24;0,0224
2588;-48,22;0,0228
2589;-48,2;0,0228
2590;-48,18;0,0224
2591;-48,16;0,0224
2592;-48,14;0,0232
2593;-48,12;0,024
2594;-48,1;0,0224
2595;-48,08;0,0216
2596;-48,06;0,0224
2597;-48,04;0,0216
2598;-48,02;0,0212
2599;-48;0,0224
2600;-47,98;0,0224
2601;-47,96;0,0224
2602;-47,94;0,0212
2603;-47,92;0,0212
2604;-47,9;0,0228
2605;-47,88;0,0228
2606;-47,86;0,0232
2607;-47,84;0,0224
2608;-47,82;0,0232
2609;-47,8;0,0224
2610;-47,78;0,0224
2611;-47,76;0,0248
2612;-47,74;0,0224
2613;-47,72;0,024
2614;-47,7;0,0232
2615;-47,68;0,0228
2616;-47,66;0,0232
2617;-47,64;0,0228
2618;-47,62;0,0224
2619;-47,6;0,0228
2620;-47,58;0,0228
2621;-47,56;0,0216
2622;-47,54;0,0224
2623;-47,52;0,0224
2624;-47,5;0,0228
2625;-47,48;0,0216
2626;-47,46;0,0228
2627;-47,44;0,0228
2628;-47,42;0,0216
2629;-47,4;0,0224
2630;-47,38;0,0224
2631;-47,36;0,0216
2632;-47,34;0,0224
2633;-47,32;0,0224
2634;-47,3;0,0228
2635;-47,28;0,0228
2636;-47,26;0,0228
2637;-47,24;0,0224
2638;-47,22;0,0232
2639;-47,2;0,0228
2640;-47,18;0,0228
2641;-47,16;0,0228
2642;-47,14;0,0224
2643;-47,12;0,0228
2644;-47,1;0,0232
2645;-47,08;0,0228
2646;-47,06;0,024
2647;-47,04;0,0228
2648;-47,02;0,0228
2649;-47;0,0228
2650;-46,98;0,0228
2651;-46,96;0,0228
2652;-46,94;0,0228
2653;-46,92;0,0224
2654;-46,9;0,0224
2655;-46,88;0,0228
2656;-46,86;0,0228
2657;-46,84;0,0224
2658;-46,82;0,0228
2659;-46,8;0,0228
2660;-46,78;0,0228
2661;-46,76;0,0204
2662;-46,74;0,0224
2663;-46,72;0,0216
2664;-46,7;0,0224
2665;-46,68;0,0232
2666;-46,66;0,0224
2667;-46,64;0,0224
2668;-46,62;0,0224
2669;-46,6;0,0232
2670;-46,58;0,0228
2671;-46,56;0,0228
2672;-46,54;0,0228
2673;-46,52;0,0228
2674;-46,5;0,0228
2675;-46,48;0,0228
2676;-46,46;0,0232
2677;-46,44;0,0224
2678;-46,42;0,0216
2679;-46,4;0,0228
2680;-46,38;0,0228
2681;-46,36;0,0228
2682;-46,34;0,0232
2683;-46,32;0,024
2684;-46,3;0,024
2685;-46,28;0,0232
2686;-46,26;0,0228
2687;-46,24;0,0228
2688;-46,22;0,0244
2689;-46,2;0,0232
2690;-46,18;0,0232
2691;-46,16;0,0232
2692;-46,14;0,0244
2693;-46,12;0,0232
2694;-46,1;0,0228
2695;-46,08;0,024
2696;-46,06;0,0228
2697;-46,04;0,0224
2698;-46,02;0,0228
2699;-46;0,0224
2700;-45,98;0,0232
2701;-45,96;0,0232
2702;-45,94;0,0232
2703;-45,92;0,0228
2704;-45,9;0,0228
2705;-45,88;0,0244
2706;-45,86;0,0232
2707;-45,84;0,0228
2708;-45,82;0,0228
2709;-45,8;0,0232
2710;-45,78;0,0228
2711;-45,76;0,0228
2712;-45,74;0,0232
2713;-45,72;0,0228
2714;-45,7;0,0232
2715;-45,68;0,024
2716;-45,66;0,0228
2717;-45,64;0,0228
2718;-45,62;0,0232
2719;-45,6;0,0232
2720;-45,58;0,0232
2721;-45,56;0,0228
2722;-45,54;0,0232
2723;-45,52;0,0228
2724;-45,5;0,0228
2725;-45,48;0,0232
2726;-45,46;0,0232
2727;-45,44;0,0228
2728;-45,42;0,0232
2729;-45,4;0,0232
2730;-45,38;0,0228
2731;-45,36;0,0228
2732;-45,34;0,0228
2733;-45,32;0,0228
2734;-45,3;0,0224
2735;-45,28;0,0224
2736;-45,26;0,0228
2737;-45,24;0,0224
2738;-45,22;0,0228
2739;-45,2;0,0228
2740;-45,18;0,0228
2741;-45,16;0,0228
2742;-45,14;0,0224
2743;-45,12;0,0228
2744;-45,1;0,024
2745;-45,08;0,0228
2746;-45,06;0,0228
2747;-45,04;0,0228
2748;-45,02;0,0228
2749;-45;0,0224
2750;-44,98;0,0228
2751;-44,96;0,0228
2752;-44,94;0,0228
2753;-44,92;0,0224
2754;-44,9;0,0232
2755;-44,88;0,0228
2756;-44,86;0,024
2757;-44,84;0,0228
2758;-44,82;0,0232
2759;-44,8;0,0232
2760;-44,78;0,0232
2761;-44,76;0,0232
2762;-44,74;0,0228
2763;-44,72;0,0228
2764;-44,7;0,0228
2765;-44,68;0,0228
2766;-44,66;0,0232
2767;-44,64;0,0224
2768;-44,62;0,0224
2769;-44,6;0,0224
2770;-44,58;0,0228
2771;-44,56;0,0224
2772;-44,54;0,0228
2773;-44,52;0,0228
2774;-44,5;0,0228
2775;-44,48;0,0224
2776;-44,46;0,0228
2777;-44,44;0,0228
2778;-44,42;0,0224
2779;-44,4;0,0224
2780;-44,38;0,0224
2781;-44,36;0,024
2782;-44,34;0,0216
2783;-44,32;0,0228
2784;-44,3;0,0232
2785;-44,28;0,0224
2786;-44,26;0,0216
2787;-44,24;0,0224
2788;-44,22;0,0224
2789;-44,2;0,0228
2790;-44,18;0,0228
2791;-44,16;0,0228
2792;-44,14;0,0224
2793;-44,12;0,0228
2794;-44,1;0,0224
2795;-44,08;0,0228
2796;-44,06;0,0232
2797;-44,04;0,0216
2798;-44,02;0,0228
2799;-44;0,0228
2800;-43,98;0,0228
2801;-43,96;0,0228
2802;-43,94;0,0228
2803;-43,92;0,0232
2804;-43,9;0,0224
2805;-43,88;0,0228
2806;-43,86;0,0224
2807;-43,84;0,0228
2808;-43,82;0,0228
2809;-43,8;0,024
2810;-43,78;0,0228
2811;-43,76;0,0228
2812;-43,74;0,0232
2813;-43,72;0,0228
2814;-43,7;0,0232
2815;-43,68;0,0228
2816;-43,66;0,0232
2817;-43,64;0,0232
2818;-43,62;0,0232
2819;-43,6;0,0224
2820;-43,58;0,0228
2821;-43,56;0,0224
2822;-43,54;0,0228
2823;-43,52;0,0216
2824;-43,5;0,0224
2825;-43,48;0,0224
2826;-43,46;0,0228
2827;-43,44;0,0232
2828;-43,42;0,0232
2829;-43,4;0,0228
2830;-43,38;0,0224
2831;-43,36;0,0224
2832;-43,34;0,0228
2833;-43,32;0,0228
2834;-43,3;0,0212
2835;-43,28;0,0224
2836;-43,26;0,0216
2837;-43,24;0,0224
2838;-43,22;0,0224
2839;-43,2;0,0224
2840;-43,18;0,0232
2841;-43,16;0,0224
2842;-43,14;0,0224
2843;-43,12;0,0224
2844;-43,1;0,0232
2845;-43,08;0,024
2846;-43,06;0,0232
2847;-43,04;0,0232
2848;-43,02;0,0228
2849;-43;0,0228
2850;-42,98;0,0232
2851;-42,96;0,0228
2852;-42,94;0,0228
2853;-42,92;0,0228
2854;-42,9;0,0216
2855;-42,88;0,0224
2856;-42,86;0,0212
2857;-42,84;0,0228
2858;-42,82;0,0232
2859;-42,8;0,0224
2860;-42,78;0,0232
2861;-42,76;0,0228
2862;-42,74;0,0232
2863;-42,72;0,0232
2864;-42,7;0,0228
2865;-42,68;0,0232
2866;-42,66;0,0224
2867;-42,64;0,0232
2868;-42,62;0,0228
2869;-42,6;0,0228
2870;-42,58;0,0232
2871;-42,56;0,0228
2872;-42,54;0,0232
2873;-42,52;0,0228
2874;-42,5;0,0232
2875;-42,48;0,0228
2876;-42,46;0,0232
2877;-42,44;0,0232
2878;-42,42;0,0232
2879;-42,4;0,0228
2880;-42,38;0,0232
2881;-42,36;0,0232
2882;-42,34;0,0228
2883;-42,32;0,0224
2884;-42,3;0,0228
2885;-42,28;0,0228
2886;-42,26;0,0216
2887;-42,24;0,0224
2888;-42,22;0,0216
2889;-42,2;0,0228
2890;-42,18;0,0224
2891;-42,16;0,0216
2892;-42,14;0,0228
2893;-42,12;0,0232
2894;-42,1;0,0228
2895;-42,08;0,0224
2896;-42,06;0,0228
2897;-42,04;0,0232
2898;-42,02;0,0228
2899;-42;0,0232
2900;-41,98;0,024
2901;-41,96;0,0232
2902;-41,94;0,0228
2903;-41,92;0,0232
2904;-41,9;0,0232
2905;-41,88;0,0224
2906;-41,86;0,0232
2907;-41,84;0,0232
2908;-41,82;0,0232
2909;-41,8;0,0228
2910;-41,78;0,0232
2911;-41,76;0,0232
2912;-41,74;0,024
2913;-41,72;0,0228
2914;-41,7;0,0228
2915;-41,68;0,0228
2916;-41,66;0,0228
2917;-41,64;0,0228
2918;-41,62;0,0232
2919;-41,6;0,0228
2920;-41,58;0,0232
2921;-41,56;0,0244
2922;-41,54;0,024
2923;-41,52;0,024
2924;-41,5;0,024
2925;-41,48;0,024
2926;-41,46;0,0244
2927;-41,44;0,024
2928;-41,42;0,0244
2929;-41,4;0,024
2930;-41,38;0,024
2931;-41,36;0,024
2932;-41,34;0,024
2933;-41,32;0,0232
2934;-41,3;0,024
2935;-41,28;0,0232
2936;-41,26;0,024
2937;-41,24;0,0232
2938;-41,22;0,0232
2939;-41,2;0,0232
2940;-41,18;0,0244
2941;-41,16;0,0232
2942;-41,14;0,024
2943;-41,12;0,0228
2944;-41,1;0,0232
2945;-41,08;0,024
2946;-41,06;0,024
2947;-41,04;0,0232
2948;-41,02;0,0244
2949;-41;0,0232
2950;-40,98;0,024
2951;-40,96;0,0232
2952;-40,94;0,0232
2953;-40,92;0,024
2954;-40,9;0,024
2955;-40,88;0,024
2956;-40,86;0,024
2957;-40,84;0,024
2958;-40,82;0,024
2959;-40,8;0,0244
2960;-40,78;0,0244
2961;-40,76;0,0248
2962;-40,74;0,0244
2963;-40,72;0,0232
2964;-40,7;0,024
2965;-40,68;0,0232
2966;-40,66;0,0244
2967;-40,64;0,024
2968;-40,62;0,024
2969;-40,6;0,0244
2970;-40,58;0,0228
2971;-40,56;0,0232
2972;-40,54;0,024
2973;-40,52;0,024
2974;-40,5;0,0244
2975;-40,48;0,0228
2976;-40,46;0,024
2977;-40,44;0,0232
2978;-40,42;0,0232
2979;-40,4;0,024
2980;-40,38;0,024
2981;-40,36;0,0232
2982;-40,34;0,0228
2983;-40,32;0,0224
2984;-40,3;0,024
2985;-40,28;0,024
2986;-40,26;0,0244
2987;-40,24;0,0244
2988;-40,22;0,024
2989;-40,2;0,0244
2990;-40,18;0,024
2991;-40,16;0,0232
2992;-40,14;0,0232
2993;-40,12;0,0232
2994;-40,1;0,024
2995;-40,08;0,0232
2996;-40,06;0,0232
2997;-40,04;0,0244
2998;-40,02;0,0232
2999;-40;0,0224
3000;-39,98;0,0232
3001;-39,96;0,024
3002;-39,94;0,024
3003;-39,92;0,0232
3004;-39,9;0,0248
3005;-39,88;0,0244
3006;-39,86;0,0244
3007;-39,84;0,0232
3008;-39,82;0,024
3009;-39,8;0,0244
3010;-39,78;0,0244
3011;-39,76;0,0232
3012;-39,74;0,0248
3013;-39,72;0,024
3014;-39,7;0,0248
3015;-39,68;0,024
3016;-39,66;0,0244
3017;-39,64;0,0244
3018;-39,62;0,0244
3019;-39,6;0,024
3020;-39,58;0,0256
3021;-39,56;0,024
3022;-39,54;0,024
3023;-39,52;0,024
3024;-39,5;0,0244
3025;-39,48;0,0232
3026;-39,46;0,024
3027;-39,44;0,024
3028;-39,42;0,024
3029;-39,4;0,0232
3030;-39,38;0,0248
3031;-39,36;0,024
3032;-39,34;0,024
3033;-39,32;0,024
3034;-39,3;0,0244
3035;-39,28;0,0228
3036;-39,26;0,0244
3037;-39,24;0,024
3038;-39,22;0,0244
3039;-39,2;0,024
3040;-39,18;0,024
3041;-39,16;0,024
3042;-39,14;0,0244
3043;-39,12;0,024
3044;-39,1;0,0244
3045;-39,08;0,0244
3046;-39,06;0,0244
3047;-39,04;0,024
3048;-39,02;0,0244
3049;-39;0,0244
3050;-38,98;0,024
3051;-38,96;0,024
3052;-38,94;0,0244
3053;-38,92;0,024
3054;-38,9;0,0244
3055;-38,88;0,0244
3056;-38,86;0,0244
3057;-38,84;0,0244
3058;-38,82;0,0244
3059;-38,8;0,024
3060;-38,78;0,0244
3061;-38,76;0,0244
3062;-38,74;0,0244
3063;-38,72;0,0244
3064;-38,7;0,0248
3065;-38,68;0,0244
3066;-38,66;0,0244
3067;-38,64;0,024
3068;-38,62;0,0244
3069;-38,6;0,024
3070;-38,58;0,024
3071;-38,56;0,0244
3072;-38,54;0,0248
3073;-38,52;0,0244
3074;-38,5;0,024
3075;-38,48;0,0216
3076;-38,46;0,0244
3077;-38,44;0,0248
3078;-38,42;0,0244
3079;-38,4;0,0244
3080;-38,38;0,024
3081;-38,36;0,024
3082;-38,34;0,0228
3083;-38,32;0,0232
3084;-38,3;0,0256
3085;-38,28;0,0232
3086;-38,26;0,0232
3087;-38,24;0,024
3088;-38,22;0,0248
3089;-38,2;0,024
3090;-38,18;0,024
3091;-38,16;0,024
3092;-38,14;0,024
3093;-38,12;0,0232
3094;-38,1;0,024
3095;-38,08;0,0244
3096;-38,06;0,0244
3097;-38,04;0,024
3098;-38,02;0,0248
3099;-38;0,0244
3100;-37,98;0,0244
3101;-37,96;0,0244
3102;-37,94;0,024
3103;-37,92;0,0244
3104;-37,9;0,024
3105;-37,88;0,024
3106;-37,86;0,024
3107;-37,84;0,0232
3108;-37,82;0,0204
3109;-37,8;0,0232
3110;-37,78;0,0232
3111;-37,76;0,0232
3112;-37,74;0,024
3113;-37,72;0,0248
3114;-37,7;0,0244
3115;-37,68;0,024
3116;-37,66;0,0244
3117;-37,64;0,024
3118;-37,62;0,0244
3119;-37,6;0,024
3120;-37,58;0,0248
3121;-37,56;0,0244
3122;-37,54;0,0244
3123;-37,52;0,024
3124;-37,5;0,0244
3125;-37,48;0,0256
3126;-37,46;0,024
3127;-37,44;0,024
3128;-37,42;0,0244
3129;-37,4;0,0244
3130;-37,38;0,024
3131;-37,36;0,0232
3132;-37,34;0,0244
3133;-37,32;0,0244
3134;-37,3;0,0248
3135;-37,28;0,024
3136;-37,26;0,0244
3137;-37,24;0,0248
3138;-37,22;0,0244
3139;-37,2;0,024
3140;-37,18;0,0244
3141;-37,16;0,0232
3142;-37,14;0,0232
3143;-37,12;0,0228
3144;-37,1;0,0232
3145;-37,08;0,0232
3146;-37,06;0,0248
3147;-37,04;0,0232
3148;-37,02;0,0244
3149;-37;0,0248
3150;-36,98;0,0244
3151;-36,96;0,0232
3152;-36,94;0,0244
3153;-36,92;0,0216
3154;-36,9;0,0244
3155;-36,88;0,0244
3156;-36,86;0,0244
3157;-36,84;0,0244
3158;-36,82;0,0244
3159;-36,8;0,0244
3160;-36,78;0,024
3161;-36,76;0,024
3162;-36,74;0,0264
3163;-36,72;0,024
3164;-36,7;0,024
3165;-36,68;0,0244
3166;-36,66;0,024
3167;-36,64;0,024
3168;-36,62;0,024
3169;-36,6;0,0232
3170;-36,58;0,024
3171;-36,56;0,0228
3172;-36,54;0,024
3173;-36,52;0,0228
3174;-36,5;0,0232
3175;-36,48;0,0232
3176;-36,46;0,024
3177;-36,44;0,0228
3178;-36,42;0,024
3179;-36,4;0,0232
3180;-36,38;0,0232
3181;-36,36;0,0228
3182;-36,34;0,0232
3183;-36,32;0,0288
3184;-36,3;0,024
3185;-36,28;0,0244
3186;-36,26;0,0244
3187;-36,24;0,0232
3188;-36,22;0,0232
3189;-36,2;0,0232
3190;-36,18;0,0244
3191;-36,16;0,018
3192;-36,14;0,0244
3193;-36,12;0,0232
3194;-36,1;0,0244
3195;-36,08;0,024
3196;-36,06;0,024
3197;-36,04;0,024
3198;-36,02;0,024
3199;-36;0,024
3200;-35,98;0,0244
3201;-35,96;0,024
3202;-35,94;0,024
3203;-35,92;0,024
3204;-35,9;0,0244
3205;-35,88;0,024
3206;-35,86;0,0232
3207;-35,84;0,0244
3208;-35,82;0,024
3209;-35,8;0,0244
3210;-35,78;0,0228
3211;-35,76;0,0232
3212;-35,74;0,0228
3213;-35,72;0,024
3214;-35,7;0,024
3215;-35,68;0,024
3216;-35,66;0,0232
3217;-35,64;0,0228
3218;-35,62;0,0232
3219;-35,6;0,0232
3220;-35,58;0,0232
3221;-35,56;0,0224
3222;-35,54;0,0228
3223;-35,52;0,0196
3224;-35,5;0,024
3225;-35,48;0,0232
3226;-35,46;0,0228
3227;-35,44;0,0228
3228;-35,42;0,026
3229;-35,4;0,024
3230;-35,38;0,0232
3231;-35,36;0,0228
3232;-35,34;0,0232
3233;-35,32;0,0232
3234;-35,3;0,024
3235;-35,28;0,024
3236;-35,26;0,0228
3237;-35,24;0,024
3238;-35,22;0,024
3239;-35,2;0,0208
3240;-35,18;0,024
3241;-35,16;0,0232
3242;-35,14;0,0232
3243;-35,12;0,0228
3244;-35,1;0,0228
3245;-35,08;0,0228
3246;-35,06;0,0232
3247;-35,04;0,0228
3248;-35,02;0,0228
3249;-35;0,0224
3250;-34,98;0,0224
3251;-34,96;0,0224
3252;-34,94;0,0208
3253;-34,92;0,0228
3254;-34,9;0,0232
3255;-34,88;0,024
3256;-34,86;0,0232
3257;-34,84;0,0228
3258;-34,82;0,0228
3259;-34,8;0,0228
3260;-34,78;0,0248
3261;-34,76;0,0228
3262;-34,74;0,0244
3263;-34,72;0,0228
3264;-34,7;0,024
3265;-34,68;0,0224
3266;-34,66;0,0224
3267;-34,64;0,0224
3268;-34,62;0,0216
3269;-34,6;0,0224
3270;-34,58;0,0216
3271;-34,56;0,0216
3272;-34,54;0,0224
3273;-34,52;0,0228
3274;-34,5;0,0224
3275;-34,48;0,0244
3276;-34,46;0,0228
3277;-34,44;0,0224
3278;-34,42;0,0232
3279;-34,4;0,0224
3280;-34,38;0,0228
3281;-34,36;0,0224
3282;-34,34;0,0228
3283;-34,32;0,0228
3284;-34,3;0,0228
3285;-34,28;0,0224
3286;-34,26;0,0212
3287;-34,24;0,0216
3288;-34,22;0,0224
3289;-34,2;0,0224
3290;-34,18;0,0224
3291;-34,16;0,0228
3292;-34,14;0,0216
3293;-34,12;0,0228
3294;-34,1;0,0232
3295;-34,08;0,0228
3296;-34,06;0,0228
3297;-34,04;0,0228
3298;-34,02;0,0228
3299;-34;0,0228
3300;-33,98;0,0232
3301;-33,96;0,0228
3302;-33,94;0,0224
3303;-33,92;0,0224
3304;-33,9;0,0228
3305;-33,88;0,0224
3306;-33,86;0,0228
3307;-33,84;0,0228
3308;-33,82;0,024
3309;-33,8;0,0232
3310;-33,78;0,0228
3311;-33,76;0,0212
3312;-33,74;0,0232
3313;-33,72;0,0188
3314;-33,7;0,024
3315;-33,68;0,0248
3316;-33,66;0,0232
3317;-33,64;0,0232
3318;-33,62;0,0228
3319;-33,6;0,0264
3320;-33,58;0,0232
3321;-33,56;0,0228
3322;-33,54;0,0224
3323;-33,52;0,0228
3324;-33,5;0,0224
3325;-33,48;0,0228
3326;-33,46;0,018
3327;-33,44;0,0216
3328;-33,42;0,0224
3329;-33,4;0,0232
3330;-33,38;0,0216
3331;-33,36;0,0228
3332;-33,34;0,0228
3333;-33,32;0,024
3334;-33,3;0,0216
3335;-33,28;0,0224
3336;-33,26;0,0228
3337;-33,24;0,0228
3338;-33,22;0,0228
3339;-33,2;0,0228
3340;-33,18;0,0232
3341;-33,16;0,0232
3342;-33,14;0,0232
3343;-33,12;0,0224
3344;-33,1;0,0228
3345;-33,08;0,0232
3346;-33,06;0,0248
3347;-33,04;0,0224
3348;-33,02;0,0224
3349;-33;0,0224
3350;-32,98;0,0228
3351;-32,96;0,0224
3352;-32,94;0,0232
3353;-32,92;0,0224
3354;-32,9;0,026
3355;-32,88;0,0232
3356;-32,86;0,0224
3357;-32,84;0,0228
3358;-32,82;0,0228
3359;-32,8;0,0228
3360;-32,78;0,0228
3361;-32,76;0,0216
3362;-32,74;0,0224
3363;-32,72;0,0224
3364;-32,7;0,0224
3365;-32,68;0,0208
3366;-32,66;0,0224
3367;-32,64;0,0216
3368;-32,62;0,0212
3369;-32,6;0,0216
3370;-32,58;0,0212
3371;-32,56;0,0256
3372;-32,54;0,0216
3373;-32,52;0,0228
3374;-32,5;0,0228
3375;-32,48;0,0224
3376;-32,46;0,0232
3377;-32,44;0,0224
3378;-32,42;0,0216
3379;-32,4;0,0228
3380;-32,38;0,0224
3381;-32,36;0,0196
3382;-32,34;0,0224
3383;-32,32;0,0212
3384;-32,3;0,0248
3385;-32,28;0,0216
3386;-32,26;0,0216
3387;-32,24;0,0216
3388;-32,22;0,0212
3389;-32,2;0,0212
3390;-32,18;0,0224
3391;-32,16;0,0216
3392;-32,14;0,0228
3393;-32,12;0,0216
3394;-32,1;0,0224
3395;-32,08;0,0216
3396;-32,06;0,0224
3397;-32,04;0,0216
3398;-32,02;0,0216
3399;-32;0,0216
3400;-31,98;0,0212
3401;-31,96;0,0224
3402;-31,94;0,0212
3403;-31,92;0,0212
3404;-31,9;0,0224
3405;-31,88;0,0212
3406;-31,86;0,0212
3407;-31,84;0,0212
3408;-31,82;0,0216
3409;-31,8;0,0228
3410;-31,78;0,0256
3411;-31,76;0,0212
3412;-31,74;0,0208
3413;-31,72;0,0212
3414;-31,7;0,0188
3415;-31,68;0,0224
3416;-31,66;0,0212
3417;-31,64;0,0212
3418;-31,62;0,0212
3419;-31,6;0,0216
3420;-31,58;0,0216
3421;-31,56;0,0204
3422;-31,54;0,0228
3423;-31,52;0,0216
3424;-31,5;0,0212
3425;-31,48;0,0216
3426;-31,46;0,0216
3427;-31,44;0,0224
3428;-31,42;0,0216
3429;-31,4;0,0232
3430;-31,38;0,0212
3431;-31,36;0,0212
3432;-31,34;0,0216
3433;-31,32;0,0212
3434;-31,3;0,0208
3435;-31,28;0,0204
3436;-31,26;0,0216
3437;-31,24;0,0224
3438;-31,22;0,0216
3439;-31,2;0,0224
3440;-31,18;0,0264
3441;-31,16;0,0232
3442;-31,14;0,0212
3443;-31,12;0,0224
3444;-31,1;0,0228
3445;-31,08;0,0216
3446;-31,06;0,0224
3447;-31,04;0,0216
3448;-31,02;0,0216
3449;-31;0,0204
3450;-30,98;0,0212
3451;-30,96;0,0216
3452;-30,94;0,0216
3453;-30,92;0,0224
3454;-30,9;0,0228
3455;-30,88;0,0212
3456;-30,86;0,0232
3457;-30,84;0,0216
3458;-30,82;0,0216
3459;-30,8;0,0196
3460;-30,78;0,0232
3461;-30,76;0,0208
3462;-30,74;0,0212
3463;-30,72;0,0208
3464;-30,7;0,0212
3465;-30,68;0,0208
3466;-30,66;0,0212
3467;-30,64;0,0208
3468;-30,62;0,0232
