Номер отсчёта;Время, с;Напряжение 1_19.06_lmax, В
284;-94,3;0,05
285;-94,28;0,0504
286;-94,26;0,0496
287;-94,24;0,0496
288;-94,22;0,05
289;-94,2;0,052
290;-94,18;0,0536
291;-94,16;0,0548
292;-94,14;0,054
293;-94,12;0,0536
294;-94,1;0,0524
295;-94,08;0,0524
296;-94,06;0,0532
297;-94,04;0,0524
298;-94,02;0,052
299;-94;0,052
300;-93,98;0,0516
301;-93,96;0,0512
302;-93,94;0,0512
303;-93,92;0,0516
304;-93,9;0,0504
305;-93,88;0,05
306;-93,86;0,0488
307;-93,84;0,0488
308;-93,82;0,0488
309;-93,8;0,0496
310;-93,78;0,048
311;-93,76;0,0468
312;-93,74;0,0468
313;-93,72;0,0464
314;-93,7;0,0456
315;-93,68;0,0456
316;-93,66;0,0452
317;-93,64;0,0448
318;-93,62;0,0436
319;-93,6;0,044
320;-93,58;0,0432
321;-93,56;0,0424
322;-93,54;0,042
323;-93,52;0,0424
324;-93,5;0,042
325;-93,48;0,042
326;-93,46;0,0416
327;-93,44;0,042
328;-93,42;0,042
329;-93,4;0,042
330;-93,38;0,042
331;-93,36;0,0416
332;-93,34;0,0408
333;-93,32;0,0404
334;-93,3;0,0404
335;-93,28;0,0392
336;-93,26;0,0392
337;-93,24;0,0392
338;-93,22;0,0388
339;-93,2;0,04
340;-93,18;0,0392
341;-93,16;0,0388
342;-93,14;0,0376
343;-93,12;0,0384
344;-93,1;0,0372
345;-93,08;0,0376
346;-93,06;0,0376
347;-93,04;0,0376
348;-93,02;0,0372
349;-93;0,0368
350;-92,98;0,0368
351;-92,96;0,0368
352;-92,94;0,0368
353;-92,92;0,0372
354;-92,9;0,036
355;-92,88;0,0372
356;-92,86;0,0388
357;-92,84;0,0376
358;-92,82;0,0372
359;-92,8;0,0376
360;-92,78;0,0368
361;-92,76;0,0372
362;-92,74;0,0368
363;-92,72;0,0368
364;-92,7;0,0368
365;-92,68;0,036
366;-92,66;0,0368
367;-92,64;0,0368
368;-92,62;0,0368
369;-92,6;0,0368
370;-92,58;0,0368
371;-92,56;0,0368
372;-92,54;0,0368
373;-92,52;0,0368
374;-92,5;0,0372
375;-92,48;0,0372
376;-92,46;0,0368
377;-92,44;0,0376
378;-92,42;0,036
379;-92,4;0,0368
380;-92,38;0,036
381;-92,36;0,0372
382;-92,34;0,0368
383;-92,32;0,0356
384;-92,3;0,0372
385;-92,28;0,036
386;-92,26;0,0356
387;-92,24;0,036
388;-92,22;0,0352
389;-92,2;0,0352
390;-92,18;0,0352
391;-92,16;0,0352
392;-92,14;0,0344
393;-92,12;0,0344
394;-92,1;0,0344
395;-92,08;0,0344
396;-92,06;0,0352
397;-92,04;0,0344
398;-92,02;0,0344
399;-92;0,034
400;-91,98;0,034
401;-91,96;0,0344
402;-91,94;0,034
403;-91,92;0,0344
404;-91,9;0,0344
405;-91,88;0,0352
406;-91,86;0,034
407;-91,84;0,034
408;-91,82;0,034
409;-91,8;0,034
410;-91,78;0,0344
411;-91,76;0,0336
412;-91,74;0,0336
413;-91,72;0,034
414;-91,7;0,0328
415;-91,68;0,0328
416;-91,66;0,0328
417;-91,64;0,0328
418;-91,62;0,0336
419;-91,6;0,0328
420;-91,58;0,0336
421;-91,56;0,0336
422;-91,54;0,034
423;-91,52;0,0336
424;-91,5;0,0336
425;-91,48;0,0328
426;-91,46;0,034
427;-91,44;0,0336
428;-91,42;0,0336
429;-91,4;0,0336
430;-91,38;0,034
431;-91,36;0,0328
432;-91,34;0,0328
433;-91,32;0,0328
434;-91,3;0,0328
435;-91,28;0,032
436;-91,26;0,0324
437;-91,24;0,0324
438;-91,22;0,0328
439;-91,2;0,0328
440;-91,18;0,0328
441;-91,16;0,0328
442;-91,14;0,0328
443;-91,12;0,0328
444;-91,1;0,0324
445;-91,08;0,0324
446;-91,06;0,0324
447;-91,04;0,032
448;-91,02;0,032
449;-91;0,0324
450;-90,98;0,0324
451;-90,96;0,032
452;-90,94;0,0312
453;-90,92;0,032
454;-90,9;0,0328
455;-90,88;0,0324
456;-90,86;0,0328
457;-90,84;0,032
458;-90,82;0,032
459;-90,8;0,0324
460;-90,78;0,0324
461;-90,76;0,0336
462;-90,74;0,0324
463;-90,72;0,0312
464;-90,7;0,032
465;-90,68;0,0312
466;-90,66;0,032
467;-90,64;0,0308
468;-90,62;0,0312
469;-90,6;0,0312
470;-90,58;0,0312
471;-90,56;0,0312
472;-90,54;0,0312
473;-90,52;0,0312
474;-90,5;0,0312
475;-90,48;0,0312
476;-90,46;0,0312
477;-90,44;0,032
478;-90,42;0,0312
479;-90,4;0,0312
480;-90,38;0,0312
481;-90,36;0,032
482;-90,34;0,032
483;-90,32;0,032
484;-90,3;0,032
